노선번호,정류장명
17,영태1리
17,영태5리
17,정목고.정목중
17,순복음평화교회
17,주유소앞
17,금촌농협
17,금촌역
17,금촌사거리
17,장안아파트
17,KT파주지사.보훈회관
17,대하마트
17,새꽃마을1단지
17,새꽃마을삼거리
17,금화초등학교
17,후곡마을4단지
17,쇠재마을5단지
17,노인복지회관.경찰서
17,파주스타디움
17,대창리
17,말레이지아교
17,조리사거리(미정차)
17,조리읍행정복지센터
17,봉일천시장
17,조리농협삼일운동기념비
17,봉일천4리
17,파주삼릉
17,송촌토파즈아파트
17,한미해병참전비
17,농협하나로클럽
17,장곡삼거리
17,내유동
17,중간내유동
17,윗내유동.희망양로원
17,내유초등학교
17,(임시)서울시립고양병원입구
17,고골입구
17,가장동
17,두포동.관산동성당
17,관산삼거리
17,고양외고.고양제일중학교
17,관산주공아파트.관산동행정복지센터
17,관산동.벽제시장
17,신성아파트
17,필리핀참전비
17,대자동
17,서울시립승화원
17,세원마을입구
17,신원마을1단지.신원중
17,신원마을2.4단지
17,신원마을3단지
17,삼송주택앞
17,삼송역사거리.지축차량기지입구
17,힐스테이트삼송역
17,삼송테크노밸리
17,동산동능모퉁이.한국지역난방공사
17,은평뉴타운10단지(중)
17,구파발역.롯데몰(서울도심)
17,박석고개.신도고등학교(중)
17,세명컴퓨터고등학교(중)
17,연신내역.연서시장(중)
17,동명여고.천주교불광동성당(중)
17,불광역3.6호선(중)
17,양광교회앞
17,불광역3.6호선(중)
17,동명여고.천주교불광동성당(중)
17,연신내역.연서시장(중)
17,세명컴퓨터고등학교(중)
17,박석고개.신도고등학교(중)
17,구파발역.롯데몰(고양.파주)
17,구파발역(미정차)
17,은평뉴타운10단지(중)
17,동산동능모퉁이.한국지역난방공사
17,삼송테크노밸리
17,삼송역현대헤리엇아파트
17,삼송역사거리.지축차량기지입구
17,삼송주택앞
17,신원마을3단지
17,신원마을2.4단지
17,신원마을1단지.신원중
17,세원마을입구
17,서울시립승화원
17,대자동
17,필리핀참전비
17,새서울아파트
17,더퍼스트프라임
17,관산동.벽제시장
17,관산주공아파트.관산동행정복지센터
17,고양외고.고양제일중학교
17,관산삼거리
17,두포동.관산동성당
17,가장동
17,고골입구
17,서울시립고양병원입구
17,내유초등학교앞
17,윗내유동.희망양로원
17,중간내유동
17,내유동
17,장곡삼거리
17,농협하나로클럽
17,한미해병참전비
17,파주삼릉
17,봉일천4리
17,조리농협삼일운동기념비
17,봉일천시장
17,조리읍행정복지센터
17,조리사거리(미정차)
17,말레이지아교
17,대창리
17,파주스타디움
17,장안흰돌마을아파트
17,노인복지회관.파주병원
17,쇠재마을5단지
17,후곡마을4단지
17,금화초교.3단지
17,새꽃마을삼거리
17,새꽃마을1단지
17,대하마트
17,금촌로타리.평생학습관
17,KT파주지사.보훈회관
17,장안아파트
17,금촌사거리
17,금촌통일시장
17,금촌역
17,금촌1동
17,주유소앞
17,순복음평화교회
17,정목고.정목중
17,영태5리
17,영태1리
17,위전3리.신성레미콘
17,월롱역
17,월롱면행정복지센터
17,덕은5리
17,양지마을입구
17,LCD산업단지
17,덕은4리.우리식당
17,덕은4리
17,덕은2리교차로
17,서영대학교
171,북악중학교
171,봉국사
171,정릉2동주민센터
171,숭덕초교
171,정릉길음시장
171,미아리고개.미아리예술극장(중)
171,돈암사거리.성신여대입구(중)
171,삼선교.한성대학교(중)
171,혜화동로터리.여운형활동터(중)
171,명륜3가.성대입구(중)
171,창경궁.서울대학교병원(중)
171,창덕궁.우리소리박물관
171,안국역.서울공예박물관
171,덕성여중고
171,경복궁역1번출구
171,사직단.어린이도서관
171,영천시장
171,금화초등학교.서울시교육청
171,미동초등학교
171,충정로역(중)
171,아현역(중)
171,웨딩타운(중)
171,이대역(중)
171,신촌아트레온
171,연세로.문학의거리
171,연세로.명물거리
171,연세대앞(중)
171,서대문우체국(중)
171,연희104고지앞.구성산회관(중)
171,성산2교
171,중동초등학교
171,성산2동주민센터
171,성산119안전센터
171,성산아파트
171,월드컵경기장북측
171,DMC상암센트럴파크
171,상암초등학교
171,상암DMC홍보관.YTN
171,누리꿈스퀘어.MBC
171,월드컵파크5단지.상암중고등학교입구
171,월드컵파크7단지
171,대덕동행정복지센터
171,월드컵파크9.10.11.12단지
171,상암고등학교
171,월드컵파크5단지
171,상암DMC홍보관.YTN
171,상암초등학교
171,DMC상암센트럴파크
171,월드컵경기장북측
171,성산아파트
171,성산119안전센터
171,성산2동주민센터
171,중동초등학교
171,성산2교
171,연희104고지앞.궁동근린공원
171,서대문우체국(중)
171,연세대학교앞
171,세브란스병원
171,신촌기차역
171,이대역(중)
171,웨딩타운(중)
171,아현역(중)
171,충정로역(중)
171,금화초등학교.서울시교육청
171,독립문
171,사직단
171,서울경찰청.경복궁역
171,경복궁
171,안국역6번출구.인사동문화의거리
171,창덕궁.우리소리박물관
171,창경궁.서울대학교병원
171,명륜동2가.성균관대입구
171,삼선교.한성대학교.조소앙활동터(중)
171,돈암사거리.성신여대입구(중)
171,미아리고개.미아리예술극장(중)
171,길음뉴타운(중)
171,길음역3번출구B
171,길음뉴타운10단지.라온유아파트
171,숭덕초교
171,정릉2동주민센터
171,봉국사
171,고려대사범대학부속고등학교
171,청덕초교
171,국민대앞
19,장흥자연휴양림
19,석현삼거리
19,봄날의정원
19,플러스편의점
19,꿈의궁전
19,대승사.법화사
19,여울목
19,돌고개유원지입구
19,천하장사
19,권율장군묘
19,양주시립장욱진미술관.장흥관광지관리사무소
19,송암천문대입구
19,황토불가마입구
19,장흥아트파크
19,일영4리
19,청암민속박물관
19,푸른옥마을
19,한맥빌라
19,장흥면행정복지센터
19,장흥
19,장흥고가밑
19,샘말
19,장흥교회
19,마당뜰앞
19,일영역
19,정자동다리.일영유원지
19,재궁마을.천생연분마을
19,장자원유원지
19,양주변전소
19,삼하리
19,비석거리
19,고양듀클래스지식산업센터.오금동고개
19,효자동.산막골
19,경남식당
19,참절
19,지축중흥S클래스.위스테이지축
19,지축중학교
19,지축센텀가든
19,지축동
19,래미안922동앞
19,래미안909동앞
19,구파발역.롯데몰(서울도심)
19,진관동주민센터.은평우체국
19,구파발역2번출구
19,롯데캐슬823동앞
19,롯데캐슬820동앞
19,지축동
19,지축역수피움
19,지축중학교
19,위스테이지축.지축중흥S클래스
19,참절.위스테이지축후문
19,경남식당
19,효자동.산막골
19,고양듀클래스지식산업센터.오금동고개
19,비석거리
19,삼하리
19,양주변전소
19,장자원유원지
19,재궁마을.천생연분마을
19,정자동다리.일영유원지
19,삼상2리마을회관앞
19,일영역
19,마당뜰앞
19,장흥교회
19,샘말
19,장흥고가밑
19,장흥
19,한맥빌라
19,푸른옥마을
19,청암민속박물관
19,일영5리
19,장흥아트파크
19,황토불가마입구
19,송암천문대입구
19,양주시립장욱진미술관.장흥관광지관리사무소
19,권율장군묘
19,천하장사
19,돌고개유원지입구
19,여울목
19,대승사.법화사
19,꿈의궁전
19,봄날의정원
19,예뫼골
19,장흥자연휴양림
19-1,장흥자연휴양림
19-1,석현삼거리
19-1,봄날의정원
19-1,플러스편의점
19-1,꿈의궁전
19-1,대승사.법화사
19-1,여울목
19-1,안돌고개
19-1,돌고개.신털뫼
19-1,안돌고개
19-1,돌고개유원지입구
19-1,천하장사
19-1,권율장군묘
19-1,양주시립장욱진미술관.장흥관광지관리사무소
19-1,송암천문대입구
19-1,황토불가마입구
19-1,장흥아트파크
19-1,일영4리
19-1,청암민속박물관
19-1,푸른옥마을
19-1,한맥빌라
19-1,장흥면행정복지센터
19-1,장흥
19-1,장흥고가밑
19-1,샘말
19-1,장흥교회
19-1,마당뜰앞
19-1,일영역
19-1,정자동다리.일영유원지
19-1,재궁마을.천생연분마을
19-1,장자원유원지
19-1,양주변전소
19-1,삼하리
19-1,비석거리
19-1,고양듀클래스지식산업센터.오금동고개
19-1,효자동.산막골
19-1,경남식당
19-1,참절
19-1,지축중흥S클래스.위스테이지축
19-1,지축중학교
19-1,지축센텀가든
19-1,지축동
19-1,래미안922동앞
19-1,래미안909동앞
19-1,구파발역.롯데몰(서울도심)
19-1,진관동주민센터.은평우체국
19-1,구파발역2번출구
19-1,롯데캐슬823동앞
19-1,롯데캐슬820동앞
19-1,지축동
19-1,지축역수피움
19-1,지축중학교
19-1,위스테이지축.지축중흥S클래스
19-1,참절.위스테이지축후문
19-1,경남식당
19-1,효자동.산막골
19-1,고양듀클래스지식산업센터.오금동고개
19-1,비석거리
19-1,삼하리
19-1,양주변전소
19-1,장자원유원지
19-1,재궁마을.천생연분마을
19-1,정자동다리.일영유원지
19-1,삼상2리마을회관앞
19-1,일영역
19-1,마당뜰앞
19-1,장흥교회
19-1,샘말
19-1,장흥고가밑
19-1,장흥
19-1,한맥빌라
19-1,푸른옥마을
19-1,청암민속박물관
19-1,일영5리
19-1,장흥아트파크
19-1,황토불가마입구
19-1,송암천문대입구
19-1,양주시립장욱진미술관.장흥관광지관리사무소
19-1,권율장군묘
19-1,천하장사
19-1,돌고개유원지입구
19-1,여울목
19-1,대승사.법화사
19-1,꿈의궁전
19-1,봄날의정원
19-1,예뫼골
19-1,장흥자연휴양림
20,교하차고지
20,오도1리(미정차)
20,오도1리
20,오도리
20,오도삼거리
20,다락골
20,다율동
20,다율4통
20,다율4통
20,연다산32통
20,문발동.진골
20,교하맛골
20,문발동.가운데말
20,파주파비뇽
20,신촌산업단지
20,구문발I.C
20,활자마을
20,출판단지.신촌동
20,활자마을
20,영화마을
20,롯데프리미엄아울렛
20,심학교
20,이채쇼핑몰
20,이석사거리
20,은석교사거리
20,산남동
20,가게앞
20,박사골
20,구정미소
20,오다리
20,산남교회
20,궁말
20,SBS전원마을
20,거그뫼
20,탑골마을
20,되레지마을사거리앞
20,당음마을
20,두신마을
20,성재공단입구
20,덕이동문2차아파트
20,만자고개
20,만자고개
20,백송고등학교.백송마을
20,고양예고입구
20,송산3통
20,덕이초등학교
20,덕이동행정복지센터사거리
20,덕이동행정복지센터
20,덕이동로데오거리
20,덕이의류상가.현충공원.태극단사거리
20,서울도시가스
20,신원아파트
20,한뫼초교.일산중고교
20,일산시장
20,일산터미널
20,북일산전화국.일산2동행정복지센터
20,일산복음병원.일산하이병원
20,하늘마을2.6단지
20,일산복음병원.일산하이병원
20,북일산전화국.일산2동행정복지센터
20,일산터미널
20,일산시장
20,한뫼초교.일산중고교
20,신원아파트앞
20,서울도시가스
20,현충공원.태극단사거리
20,덕이동로데오거리
20,덕이동행정복지센터
20,덕이동행정복지센터사거리
20,덕이초등학교
20,송산3통
20,고양예고입구
20,송포백송
20,만자고개
20,덕이동문2차아파트
20,성재공단입구
20,두신마을
20,당음마을
20,되레지마을사거리앞
20,탑골마을
20,거그뫼
20,SBS전원마을
20,궁말
20,산남교회
20,SBS전원마을
20,오다리
20,구정미소
20,박사골
20,가게앞
20,산남동
20,은석교사거리
20,다산교앞
20,이채쇼핑몰
20,심학교
20,롯데프리미엄아울렛
20,영화마을
20,활자마을
20,출판단지.신촌동
20,활자마을
20,구문발I.C
20,신촌산업단지
20,파주파비뇽아울렛
20,문발동.가운데말
20,교하맛골
20,문발공단
20,연다산32통
20,다율4통
20,다율동
20,다락골
20,오도삼거리
20,오도리
20,오도1리
20,신성교하차고지
20-1,교하차고지
20-1,오도1리(미정차)
20-1,오도1리
20-1,오도리
20-1,오도삼거리
20-1,다락골
20-1,다율동
20-1,다율4통
20-1,연다산32통
20-1,문발동.진골
20-1,교하맛골
20-1,문발동.가운데말
20-1,파주파비뇽아울렛
20-1,문발동.가운데말
20-1,교하맛골
20-1,문발동(한성타워앞)
20-1,문발동.윗말
20-1,문발동
20-1,문발동.아랫말
20-1,서패동
20-1,심학초교
20-1,동패11통입구
20-1,동패10통
20-1,동패동.안골
20-1,동패9통
20-1,산남입구
20-1,가재울
20-1,삽다리사거리
20-1,덕이동문아파트
20-1,중앙하이츠아파트
20-1,만자고개
20-1,백송고등학교.백송마을
20-1,고양예고입구
20-1,송산3통
20-1,덕이초등학교
20-1,덕이동행정복지센터사거리
20-1,덕이동행정복지센터
20-1,덕이동로데오거리
20-1,덕이의류상가.현충공원.태극단사거리
20-1,메디누리병원
20-1,신원아파트
20-1,한뫼초교.일산중고교
20-1,일산시장
20-1,일산터미널
20-1,일산서구보건소
20-1,현대홈타운
20-1,일산시장
20-1,동양아파트
20-1,동문아파트
20-1,성저초등학교
20-1,장성중학교.대진고등학교
20-1,장성초교
